00           nop
01 xx xx     ld bc, nn
02           ld (bc), a
03           inc bc
04           inc b
05           dec b
06 xx        ld b, n
07           rlca
08           ex af, af'
09           add hl, bc
0a           ld a, (bc)
0b           dec bc
0c           inc c
0d           dec c
0e xx        ld c, n
0f           rrca
10 xx        djnz e
11 xx xx     ld de, nn
12           ld (de), a
13           inc de
14           inc d
15           dec d
16 xx        ld d, n
17           rla
18 xx        jr e
19           add hl, de
1a           ld a, (de)
1b           dec de
1c           inc e
1d           dec e
1e xx        ld e, n
1f           rra
20 xx        jr nz, e
21 xx xx     ld hl, nn
22 xx xx     ld (nn), hl
23           inc hl
24           inc h
25           dec h
26 xx        ld h, n
27           daa
28 xx        jr z, e
29           add hl, hl
2a xx xx     ld hl, (nn)
2b           dec hl
2c           inc l
2d           dec l
2e xx        ld l, n
2f           cpl
30 xx        jr nc, e
31 xx xx     ld sp, nn
32 xx xx     ld (nn), a
33           inc sp
34           inc (hl)
35           dec (hl)
36 xx        ld (hl), n
37           scf
38 xx        jr c, e
39           add hl, sp
3a xx xx     ld a, (nn)
3b           dec sp
3c           inc a
3d           dec a
3e xx        ld a, n
3f           ccf
40           ld b, b
41           ld b, c
42           ld b, d
43           ld b, e
44           ld b, h
45           ld b, l
46           ld b, (hl)
47           ld b, a
48           ld c, b
49           ld c, c
4a           ld c, d
4b           ld c, e
4c           ld c, h
4d           ld c, l
4e           ld c, (hl)
4f           ld c, a
50           ld d, b
51           ld d, c
52           ld d, d
53           ld d, e
54           ld d, h
55           ld d, l
56           ld d, (hl)
57           ld d, a
58           ld e, b
59           ld e, c
5a           ld e, d
5b           ld e, e
5c           ld e, h
5d           ld e, l
5e           ld e, (hl)
5f           ld e, a
60           ld h, b
61           ld h, c
62           ld h, d
63           ld h, e
64           ld h, h
65           ld h, l
66           ld h, (hl)
67           ld h, a
68           ld l, b
69           ld l, c
6a           ld l, d
6b           ld l, e
6c           ld l, h
6d           ld l, l
6e           ld l, (hl)
6f           ld l, a
70           ld (hl), b
71           ld (hl), c
72           ld (hl), d
73           ld (hl), e
74           ld (hl), h
75           ld (hl), l
76           halt
77           ld (hl), a
78           ld a, b
79           ld a, c
7a           ld a, d
7b           ld a, e
7c           ld a, h
7d           ld a, l
7e           ld a, (hl)
7f           ld a, a
80           add b
81           add c
82           add d
83           add e
84           add h
85           add l
86           add (hl)
87           add a
88           adc b
89           adc c
8a           adc d
8b           adc e
8c           adc h
8d           adc l
8e           adc (hl)
8f           adc a
90           sub b
91           sub c
92           sub d
93           sub e
94           sub h
95           sub l
96           sub (hl)
97           sub a
98           sbc b
99           sbc c
9a           sbc d
9b           sbc e
9c           sbc h
9d           sbc l
9e           sbc (hl)
9f           sbc a
a0           and b
a1           and c
a2           and d
a3           and e
a4           and h
a5           and l
a6           and (hl)
a7           and a
a8           xor b
a9           xor c
aa           xor d
ab           xor e
ac           xor h
ad           xor l
ae           xor (hl)
af           xor a
b0           or b
b1           or c
b2           or d
b3           or e
b4           or h
b5           or l
b6           or (hl)
b7           or a
b8           cp b
b9           cp c
ba           cp d
bb           cp e
bc           cp h
bd           cp l
be           cp (hl)
bf           cp a
c0           ret nz
c1           pop bc
c2 xx xx     jp nz, nn
c3 xx xx     jp nn
c4 xx xx     call nz, nn
c5           push bc
c6 xx        add n
c7           rst 00
c8           ret z
c9           ret
ca xx xx     jp z, nn
cb 00        rlc b
cb 01        rlc c
cb 02        rlc d
cb 03        rlc e
cb 04        rlc h
cb 05        rlc l
cb 06        rlc (hl)
cb 07        rlc a
cb 08        rrc b
cb 09        rrc c
cb 0a        rrc d
cb 0b        rrc e
cb 0c        rrc h
cb 0d        rrc l
cb 0e        rrc (hl)
cb 0f        rrc a
cb 10        rl b
cb 11        rl c
cb 12        rl d
cb 13        rl e
cb 14        rl h
cb 15        rl l
cb 16        rl (hl)
cb 17        rl a
cb 18        rr b
cb 19        rr c
cb 1a        rr d
cb 1b        rr e
cb 1c        rr h
cb 1d        rr l
cb 1e        rr (hl)
cb 1f        rr a
cb 20        sla b
cb 21        sla c
cb 22        sla d
cb 23        sla e
cb 24        sla h
cb 25        sla l
cb 26        sla (hl)
cb 27        sla a
cb 28        sra b
cb 29        sra c
cb 2a        sra d
cb 2b        sra e
cb 2c        sra h
cb 2d        sra l
cb 2e        sra (hl)
cb 2f        sra a
cb 30        sll b
cb 31        sll c
cb 32        sll d
cb 33        sll e
cb 34        sll h
cb 35        sll l
cb 36        sll (hl)
cb 37        sll a
cb 38        srl b
cb 39        srl c
cb 3a        srl d
cb 3b        srl e
cb 3c        srl h
cb 3d        srl l
cb 3e        srl (hl)
cb 3f        srl a
cb 40        bit 0, b
cb 41        bit 0, c
